UniProt_ID,PDB_ID
P62750, 6QZP:LX
P62750, 6SXO:LX
P62750, 6W6L:Y
P62750, 6XA1:LX
P62750, 6Y0G:LX
P62750, 6Y2L:LX
P62750, 6Y57:LX
P62750, 6Y6X:LX
P62750, 6Z6L:LX
P62750, 6Z6M:LX
P62750, 6Z6N:LX
P62750, 6ZM7:LX
P62750, 6ZME:LX
P62750, 6ZMI:LX
P62750, 6ZMO:LX
P62750, 7BHP:LX
P62750, 7F5S:LX
P62750, 7OW7:R
P62750, 7QVP:LX
P62750, 7QVP:MX
P62750, 7XNX:LX
P62750, 7XNY:LX
P62750, 8A3D:R
P62750, 8FKP:LH
P62750, 8FKQ:LH
P62750, 8FKR:LH
P62750, 8FKS:LH
P62750, 8FKT:LH
P62750, 8FKU:LH
P62750, 8FKV:LH
P62750, 8FKW:LH
P62750, 8FKX:LH
P62750, 8FKY:LH
P62750, 8FKZ:LH
P62750, 8FL2:LH
P62750, 8FL3:LH
P62750, 8FL4:LH
P62750, 8FL6:LH
P62750, 8FL7:LH
P62750, 8FL9:LH
P62750, 8FLA:LH
P62750, 8FLB:LH
P62750, 8FLC:LH
P62750, 8FLD:LH
P62750, 8FLE:LH
P62750, 8FLF:LH
P62750, 8G5Y:LX
P62750, 8G60:LX
P62750, 8G61:LX
P62750, 8G6J:LX
P62750, 8GLP:LX
P62750, 8IDT:g
P62750, 8IDY:g
P62750, 8IE3:g
P62750, 8IFD:2R
P62750, 8IFE:2R
P62750, 8INE:g
P62750, 8INF:g
P62750, 8INK:g
P62750, 8IPD:g
P62750, 8IPX:g
P62750, 8IPY:g
P62750, 8IR1:g
P62750, 8IR3:g
P62750, 8JDJ:c
P62750, 8JDK:c
P62750, 8JDL:c
P62750, 8JDM:c
P62750, 8K2C:LX
P62750, 8OHD:LX
P62750, 8OJ0:LX
P62750, 8OJ5:LX
P62750, 8OJ8:LX
P62750, 8ONY:LX
P62750, 8QFD:X
P62750, 8QOI:LX
P62750, 8XSX:LX
P62750, 8XSY:LX
P62750, 8XSZ:LX
P62750, 8Y0W:LX
P62750, 8Y0X:LX
P62750, 8YOO:LX
P62750, 8YOP:LX
P62750, 9FPZ:LX
P62750, 9FQ0:LX
P62750, 9G8M:LX
P62750, 9GMO:R
Q9H2X9,6M23:A
Q9H2X9, 6M23:B
Q9H2X9, 7D8Z:A
Q9H2X9, 7D8Z:B
Q9HC35,4CGC:A
Q9HC35, 4CGC:B
Q9HC35, 4CGC:C
Q9BQA1,4GQB:B
Q9BQA1, 4X60:B
Q9BQA1, 4X61:B
Q9BQA1, 4X63:B
Q9BQA1, 5C9Z:B
Q9BQA1, 5EMJ:B
Q9BQA1, 5EMK:B
Q9BQA1, 5EML:B
Q9BQA1, 5EMM:B
Q9BQA1, 5FA5:B
Q9BQA1, 6CKC:B
Q9BQA1, 6K1S:B
Q9BQA1, 6RLL:B
Q9BQA1, 6RLQ:B
Q9BQA1, 6UGH:B
Q9BQA1, 6UXX:B
Q9BQA1, 6UXY:B
Q9BQA1, 6V0N:B
Q9BQA1, 6V0O:B
Q9BQA1, 6V0P:B
Q9BQA1, 7BO7:BBB
Q9BQA1, 7KIB:B
Q9BQA1, 7KIC:B
Q9BQA1, 7KID:B
Q9BQA1, 7L1G:B
Q9BQA1, 7M05:B
Q9BQA1, 7M05:D
Q9BQA1, 7M05:F
Q9BQA1, 7M05:H
Q9BQA1, 7MX7:B
Q9BQA1, 7MXA:B
Q9BQA1, 7MXC:B
Q9BQA1, 7MXG:B
Q9BQA1, 7MXG:D
Q9BQA1, 7MXN:B
Q9BQA1, 7S0U:B
Q9BQA1, 7S1P:B
Q9BQA1, 7S1Q:B
Q9BQA1, 7S1R:B
Q9BQA1, 7S1S:B
Q9BQA1, 7SER:B
Q9BQA1, 7SES:B
Q9BQA1, 7U30:B
Q9BQA1, 7UOH:B
Q9BQA1, 7UY1:B
Q9BQA1, 7UYF:B
Q9BQA1, 7ZUP:B
Q9BQA1, 7ZUQ:B
Q9BQA1, 7ZUU:B
Q9BQA1, 7ZUY:B
Q9BQA1, 7ZV2:B
Q9BQA1, 7ZVL:B
Q9BQA1, 7ZVU:B
Q9BQA1, 8CSG:B
Q9BQA1, 8CTB:B
Q9BQA1, 8CYI:B
Q9BQA1, 8G1U:B
Q9BQA1, 8G1U:F
Q9BQA1, 8G1U:J
Q9BQA1, 8G1U:N
Q9BQA1, 8VEO:B
Q9BQA1, 8VET:B
Q9BQA1, 8VEU:B
Q9BQA1, 8VEW:B
Q9BQA1, 8VEX:B
Q9BQA1, 8VEY:B
Q9BQA1, 9C10:B
Q9BQA1, 9EYU:B
Q9BQA1, 9EYV:B
Q9BQA1, 9EYW:B
Q9BQA1, 9EYX:B
Q9H251,2KBR:B
Q9H251, 2KBS:B
Q9H251, 2LSR:B
Q9H251, 5TFM:A
Q9H251, 5VVM:A
Q9H251, 5VVM:B
Q9H251, 5WJ8:A
Q14721,7RE5:A
Q14721, 7RE5:B
Q14721, 7RE5:C
Q14721, 7RE5:D
Q14721, 7RE5:E
Q14721, 7SPD:A
Q14721, 7SPD:B
Q14721, 7SPD:C
Q14721, 7SPD:D
Q14721, 7SPD:E
Q9NVV4,3PQ1:A
Q9NVV4, 3PQ1:B
O94906,3JCR:G
O94906, 5O9Z:G
O94906, 6AH0:N
O94906, 6AHD:N
O94906, 6QW6:5J
O94906, 6QX9:5J
O94906, 8H6E:4G
O94906, 8H6J:4G
O94906, 8H6K:4G
O94906, 8H6L:4G
O94906, 8Q7N:N
O94906, 8Q7Q:F
O94906, 8Q7V:F
O94906, 8Q7W:F
O94906, 8Q7X:F
O94906, 8Q91:E
O94906, 8QO9:N
O94906, 8QOZ:N
O94906, 8QP8:N
O94906, 8QP9:N
O94906, 8QPA:N
O94906, 8QPB:N
O94906, 8QPE:N
O94906, 8QPK:N
O94906, 8QXD:N
O94906, 8QZS:N
O94906, 8R08:N
O94906, 8R09:N
O94906, 8R0A:N
O94906, 8R0B:N
O94906, 8RC0:E
O94906, 8RM5:N
O94906, 8Y6O:G
Q9Y232,2DNT:A
Q9Y232, 2GTR:A
Q9Y232, 2GTR:B
Q9Y232, 2GTR:C
Q9Y232, 7N27:A
Q9Y232, 7N27:B
Q9Y232, 7N27:C
Q9Y232, 7N27:D
Q9Y232, 7N27:E
Q9Y232, 7N27:F
P17987,6NR8:A
P17987, 6NR8:I
P17987, 6NR9:A
P17987, 6NR9:I
P17987, 6NRA:A
P17987, 6NRA:I
P17987, 6NRB:A
P17987, 6NRB:I
P17987, 6NRC:A
P17987, 6NRC:I
P17987, 6NRD:A
P17987, 6NRD:I
P17987, 6QB8:A
P17987, 6QB8:a
P17987, 7LUM:G
P17987, 7LUM:O
P17987, 7LUP:G
P17987, 7LUP:O
P17987, 7NVL:A
P17987, 7NVL:a
P17987, 7NVM:A
P17987, 7NVM:a
P17987, 7NVN:A
P17987, 7NVN:a
P17987, 7NVO:A
P17987, 7NVO:a
P17987, 7TRG:G
P17987, 7TTN:G
P17987, 7TTT:G
P17987, 7TUB:G
P17987, 7WU7:A
P17987, 7WU7:I
P17987, 7WZ3:A
P17987, 7WZ3:a
P17987, 7X0A:A
P17987, 7X0A:a
P17987, 7X0S:A
P17987, 7X0S:a
P17987, 7X0V:A
P17987, 7X0V:a
P17987, 7X3J:A
P17987, 7X3J:a
P17987, 7X3U:A
P17987, 7X3U:a
P17987, 7X6Q:A
P17987, 7X6Q:a
P17987, 7X7Y:A
P17987, 7X7Y:a
P17987, 8HKI:A
P17987, 8HKI:a
P17987, 8I1U:A
P17987, 8I1U:I
P17987, 8I9U:A
P17987, 8I9U:I
P17987, 8IB8:A
P17987, 8IB8:I
P17987, 8SFE:A
P17987, 8SFE:a
P17987, 8SFF:A
P17987, 8SFF:a
P17987, 8SG8:A
P17987, 8SG8:a
P17987, 8SG9:A
P17987, 8SG9:a
P17987, 8SGC:A
P17987, 8SGC:a
P17987, 8SGL:A
P17987, 8SGL:a
P17987, 8SGQ:A
P17987, 8SGQ:a
P17987, 8SH9:A
P17987, 8SH9:a
P17987, 8SHA:A
P17987, 8SHA:a
P17987, 8SHD:A
P17987, 8SHD:a
P17987, 8SHE:A
P17987, 8SHE:a
P17987, 8SHF:A
P17987, 8SHF:a
P17987, 8SHG:A
P17987, 8SHG:a
P17987, 8SHL:A
P17987, 8SHL:a
P17987, 8SHN:A
P17987, 8SHN:a
P17987, 8SHO:A
P17987, 8SHO:a
P17987, 8SHP:A
P17987, 8SHP:a
P17987, 8SHQ:A
P17987, 8SHQ:a
P17987, 8SHT:A
P17987, 8SHT:a
P60866,4UG0:SU
P60866, 4V6X:AU
P60866, 5A2Q:U
P60866, 5AJ0:BU
P60866, 5FLX:U
P60866, 5LKS:SU
P60866, 5OA3:U
P60866, 5T2C:AB
P60866, 5VYC:U1
P60866, 5VYC:U2
P60866, 5VYC:U3
P60866, 5VYC:U4
P60866, 5VYC:U5
P60866, 5VYC:U6
P60866, 6FEC:h
P60866, 6G51:U
P60866, 6G53:U
P60866, 6G5H:U
P60866, 6G5I:U
P60866, 6IP5:21
P60866, 6IP6:21
P60866, 6IP8:21
P60866, 6OLE:SU
P60866, 6OLF:SU
P60866, 6OLG:BU
P60866, 6OLI:SU
P60866, 6OLZ:BU
P60866, 6OM0:SU
P60866, 6OM7:SU
P60866, 6QZP:SU
P60866, 6XA1:SU
P60866, 6Y0G:SU
P60866, 6Y2L:SU
P60866, 6Y57:SU
P60866, 6YBS:h
P60866, 6Z6L:SU
P60866, 6Z6M:SU
P60866, 6Z6N:SU
P60866, 6ZLW:V
P60866, 6ZM7:SU
P60866, 6ZME:SU
P60866, 6ZMI:SU
P60866, 6ZMO:SU
P60866, 6ZMT:V
P60866, 6ZMW:h
P60866, 6ZN5:V
P60866, 6ZOJ:U
P60866, 6ZOL:U
P60866, 6ZON:h
P60866, 6ZP4:h
P60866, 6ZUO:U
P60866, 6ZV6:U
P60866, 6ZVH:U
P60866, 6ZVJ:h
P60866, 6ZXD:U
P60866, 6ZXE:U
P60866, 6ZXF:U
P60866, 6ZXG:U
P60866, 6ZXH:U
P60866, 7A09:h
P60866, 7K5I:U
P60866, 7QP6:h
P60866, 7QP7:h
P60866, 7R4X:U
P60866, 7TQL:V
P60866, 7XNX:SU
P60866, 7XNY:SU
P60866, 8G5Y:SU
P60866, 8G60:SU
P60866, 8G61:SU
P60866, 8G6J:SU
P60866, 8GLP:SU
P60866, 8IFD:21
P60866, 8IFE:21
P60866, 8JDJ:AG
P60866, 8JDK:AG
P60866, 8JDL:AG
P60866, 8JDM:AG
P60866, 8K2C:SU
P60866, 8OZ0:w
P60866, 8PJ1:h
P60866, 8PJ2:h
P60866, 8PJ3:h
P60866, 8PJ4:h
P60866, 8PJ5:h
P60866, 8PJ6:h
P60866, 8PPK:U
P60866, 8PPL:AU
P60866, 8QOI:SU
P60866, 8T4S:U
P60866, 8XSX:SU
P60866, 8XSY:SU
P60866, 8XSZ:SU
P60866, 8XXL:SU
P60866, 8XXM:SU
P60866, 8XXN:SU
P60866, 8Y0W:SU
P60866, 8Y0X:SU
P60866, 8YOO:SU
P60866, 8YOP:SU
P60866, 9BKD:h
P60866, 9BLN:h
P60866, 9G8M:SU
